provSize,Query,IGwoEXPL,IGwEXPL
1k,0.027266089,0.019396994,0.023809028
10k,0.45872286,0.065004864,0.120118789
100k,23.30031258,0.815104056,124.892439038
1m,,66.240292076,29597.968199767
