provSize,Query,IGwoEXPL,IGwEXPL
1k,0.014867271,0.02867947,0.034423196
10k,0.021357835,0.108288645,0.458034299
100k,0.11843431,1.385937979,392.030036356
1m,1.834470819,27.944986769,0.125521839
