"i_county","i_year","i_dayswaqi","i_gdays","i_maqi","patternig","coverage","informativeness","county_r2","year_r2","dayswaqi_r2","gdays_r2","maqi_r2","meanr2","fscore"
NULL,NULL,NULL,NULL,174,1192,173,1,1.7759213102976963,1.8073556024945792,1.1006181192582567,1,1,1.3367790064101064,806.4296194422024
NULL,NULL,NULL,NULL,182,1133,175,1,1.763001324890427,1.771632284998012,1.0897331254829887,1,1,1.3248733470742855,801.9057509612694
NULL,NULL,0,NULL,100,1907,86,2,1.7199875197475831,1.1737091697994297,1,1,1,1.1787393379094024,774.7426824511178
NULL,NULL,NULL,NULL,77,1301,137,1,1.7464783408685765,1.859381201184328,1.8653766001786245,1,1,1.4942472284463058,739.55211905639
NULL,NULL,NULL,NULL,84,1402,136,1,1.7580733979898162,1.8612109163747186,1.8441338545283767,1,1,1.4926836337785823,739.0180475209343
NULL,NULL,NULL,NULL,187,1170,153,1,1.7796213693543523,1.6519736376327718,1.1852522766337197,1,1,1.3233694567241687,714.9843484471322
NULL,NULL,NULL,NULL,169,997,156,1,1.750367691808726,1.8035927357580799,1.0763843667032658,1,1,1.3260689588540144,714.0708163690812
NULL,NULL,0,NULL,97,1683,77,2,1.6390335788519486,1.279062927141547,1,1,1,1.183619301198699,695.952059366033
"Madison",NULL,NULL,NULL,NULL,585,144,1,1.9155098598858327,1.872415616894354,1.6391355257723226,1,1,1.485412200510502,684.257658096424
NULL,NULL,0,NULL,87,1610,73,2,1.7737182784275036,1.321154835282511,1,1,1,1.2189746227420029,679.7033579481362
NULL,2017,0,NULL,NULL,1574,74,2,2,1,1,1,1,1.2,677.1860465116278
NULL,NULL,NULL,NULL,185,902,144,1,1.7314294577002398,1.8359980431950884,1.2592406701155483,1,1,1.3653336342021754,676.6360900717465
NULL,NULL,0,NULL,93,1599,72,2,1.6845654539347699,1.3951705326854316,1,1,1,1.2159471973240403,668.9200119870695
NULL,NULL,NULL,NULL,80,1481,128,1,1.5286982045148343,1.6619128274616082,1.802777777777778,1,1,1.3986777619508441,658.1724302908159
NULL,2009,0,NULL,NULL,1549,71,2,1.2765550239234449,1,1.6563636363636363,1,1,1.1865837320574162,643.1758052997035
NULL,2014,0,NULL,NULL,1611,70,2,2,1,1,1,1,1.2,642.793017456359
NULL,NULL,0,NULL,80,1481,69,2,1.7309865826889332,1.1828959367717093,1,1,1,1.1827765038921285,622.5500307351873
NULL,NULL,NULL,NULL,190,991,132,1,1.759394133554704,1.771543762295356,1.0981823488342632,1,1,1.3258240489368647,616.4745952972534
NULL,NULL,NULL,NULL,192,908,131,1,1.8207975391610933,1.8052839491447035,1.085273052433592,1,1,1.3422709081478779,613.2870793505191
NULL,NULL,NULL,NULL,195,782,133,1,1.7932256443195382,1.787723633558436,1.176192182858689,1,1,1.3514282921473328,612.8802839049492
"Montgomery",NULL,NULL,NULL,NULL,585,126,1,1.8726325163193578,1.8377371769836621,1.5422005930627614,1,1,1.4505140572731563,599.4383019143577
NULL,1994,0,NULL,NULL,1351,64,2,2,1,1,1,1,1.2,585.2872655478776
NULL,NULL,NULL,NULL,197,940,123,1,1.7728105500643785,1.7688331366610002,1.19546632814691,1,1,1.3474220029744577,584.9319340014204
"Jackson",NULL,NULL,NULL,NULL,477,125,1,1.8577614543501413,1.8719019874082092,1.5979524715136684,1,1,1.4655231826544037,578.2418775891986
NULL,NULL,0,NULL,84,1377,62,2,1.6861247966377981,1.3855535657885933,1,1,1,1.2143356724852783,575.0750974440533
NULL,NULL,0,NULL,90,1327,60,2,1.6023560160024157,1.493657487504806,1,1,1,1.2192027007014443,558.6049672815385
NULL,NULL,NULL,NULL,71,1121,101,1,1.7585465804046136,1.8830601217721685,1.904806218367935,1,1,1.5092825841089434,558.2072292495214
NULL,2013,0,NULL,NULL,1344,58,2,2,1,1,1,1,1.2,532.5499573014517
NULL,NULL,235,235,NULL,577,51,2,1.8091207997578498,1.8692375260453176,1.4592848359755832,1,1,1.4275286323557501,532.2274770670184
NULL,1995,0,NULL,NULL,1280,58,2,2,1,1,1,1,1.2,531.3927825827617
NULL,NULL,0,NULL,77,1260,57,2,1.7411339150052951,1.243838541199677,1,1,1,1.1969944912409944,520.9413123625989
NULL,NULL,NULL,NULL,201,708,108,1,1.781168247121388,1.850770787663307,1.1371983980340066,1,1,1.3538274865637403,505.9868309068768
NULL,NULL,NULL,NULL,74,898,94,1,1.6638957441582554,1.8547809782424043,1.913561842260203,1,1,1.4864477129321725,504.67866960918025
NULL,NULL,238,238,NULL,525,48,2,1.8390602337074708,1.9047367728553302,1.4678415681287262,1,1,1.4423277149383054,504.4273353142021
NULL,NULL,NULL,NULL,203,696,109,1,1.7886346344118684,1.759379508589372,1.1036744916267944,1,1,1.330337726925607,500.0418619205731
"Warren",NULL,NULL,NULL,NULL,472,106,1,1.8872578241430702,1.8883205081812866,1.40189647846972,1,1,1.4354949621588156,494.94343175144496
NULL,2016,0,NULL,NULL,1098,54,2,2,1,1,1,1,1.2,492.7313019390581
"Lake",NULL,NULL,NULL,NULL,607,104,1,1.8904965556831228,1.897774080929731,1.152836354307428,1,1,1.3882213981840565,491.37699668101754
NULL,NULL,NULL,NULL,54,840,89,1,1.7792740731313441,1.8908380882018543,1.8901032112102567,1,1,1.512043074508691,485.4058134435864
NULL,2015,0,NULL,NULL,1251,51,2,2,1,1,1,1,1.2,469.26877106956783
"Franklin",NULL,NULL,NULL,NULL,404,104,1,1.8951083509513744,1.836384501397553,1.3671852530328978,1,1,1.4197356210763652,467.47104543330994
NULL,NULL,NULL,NULL,204,726,98,1,1.8066109633116607,1.8107500084682915,1.0084896896132587,1,1,1.3251701322786422,456.39759251805395
NULL,NULL,NULL,NULL,205,608,96,1,1.8049179745274884,1.844699419560422,1.179502415894635,1,1,1.3658239619965091,451.4398081530134
NULL,NULL,0,NULL,71,1099,50,2,1.7429418085903152,1.129122116701755,1,1,1,1.174412785058414,448.08481648515044
NULL,1996,0,NULL,NULL,1043,49,2,2,1,1,1,1,1.2,447.9795471146822
NULL,1986,NULL,NULL,200,308,46,2,1.868660268105021,1.8881236919660016,1.181399222654081,1,1,1.3876366365450208,440.0831780661435
NULL,1997,0,NULL,NULL,1047,48,2,2,1,1,1,1,1.2,439.3167000546348
NULL,1992,0,NULL,NULL,980,48,2,2,1,1,1,1,1.2,437.92086889061284
NULL,NULL,NULL,NULL,67,817,82,1,1.6038345928761575,1.8397569431528202,1.91707374840868,1,1,1.4721330568875315,437.61344758906534
NULL,NULL,247,247,NULL,468,40,2,1.8709325252677897,1.9074921382577572,1.6711838073453886,1,1,1.489921694174187,436.23669490977517
NULL,NULL,NULL,NULL,202,647,93,1,1.7447636932707353,1.7808829382990559,1.1963991887489154,1,1,1.3444091640637414,435.88632344909917
NULL,2011,0,NULL,NULL,1079,47,2,2,1,1,1,1,1.2,431.14133900106265
NULL,2010,0,NULL,NULL,1027,47,2,2,1,1,1,1,1.2,430.17304121797247
NULL,NULL,237,237,NULL,471,41,2,1.815130822834042,1.8817767940306078,1.4772869492511882,1,1,1.4348389132231676,430.05512489880323
NULL,2004,0,NULL,NULL,1011,47,2,2,1,1,1,1,1.2,429.8560120618168
NULL,NULL,264,264,NULL,436,41,2,1.861029457171059,1.8725291822972572,1.392294037798893,1,1,1.4251705354534419,424.23003712934184
"Hancock",NULL,NULL,NULL,NULL,518,89,1,1.8347813783726101,1.8239627530256506,1.22619650771741,1,1,1.3769881278231342,416.7003868258061
NULL,NULL,214,NULL,NULL,302,98,1,1.875662861064321,1.8927719894905661,1.1219966888188113,1,1,1.3780863078747396,405.4479481435179
NULL,NULL,223,223,NULL,572,38,2,1.86972775282792,1.8990374215877142,1.3783394173485606,1,1,1.429420918352839,405.1959951291961
