county,year,dayswaqi,maqi
Tulare,2019,365,280
Richland,2017,358,153
Douglas,1989,365,184
Del Norte,2011,120,54
Codington,2005,123,82
East Baton Rouge,1993,365,204
Escambia,2001,115,83
Jefferson,2002,365,150
Virginia Beach City,2013,357,77
Wayne,2009,362,108
Gloucester,2012,277,166
Sevier,1993,346,187
Caldwell,2002,142,135
Ashland,2009,330,77
Muskogee,2017,359,91
Cherokee,2000,366,185
Kent,2008,268,147
Ottawa,1999,18,86
Franklin,1993,137,40
Roanoke City,1995,355,72
Bayamon,2009,316,34
Johnson,2010,355,140
Lincoln,1999,359,140
Middlesex,1998,365,212
Garfield,1999,62,205
Pinal,2002,365,199
Muskegon,2005,239,208
Cibola,1996,10,21
Trinity,1998,58,43
Crittenden,1991,301,203
Adams,1992,366,200
Valencia,1995,363,97
Tuscarawas,2008,366,90
Galveston,1998,365,249
Hampton City,1994,365,179
Tangipahoa,1999,58,128
Providence,1989,365,159
Salt Lake,2002,365,177
Delaware,1992,365,179
Crook,2014,365,172
Lackawanna,2018,365,95
St. Clair,2012,366,202
Lee,1998,359,132
Yellowstone,2010,365,150
Davidson,1987,365,169
Sublette,2013,365,100
Fairbanks North Star ,1980,365,210
Santa Cruz,2012,337,107
Harnett,1993,52,44
McDowell,2000,120,166
Tarrant,1992,366,214
Klickitat,2015,120,108
Sedgwick,2011,365,150
Stephens,1983,292,55
Westchester,2003,360,179
Marquette,1988,366,152
Bayamon,1996,353,119
Lyon,2016,356,110
Silver Bow,1996,352,69
Summit,1999,365,179
Houston,2010,357,115
Franklin,2011,214,136
Saint Louis,1990,364,77
Cass,2009,14,69
Webb,2014,365,82
Polk,1985,364,200
Columbiana,1997,364,158
Lynchburg City,1995,59,51
Frederick,1981,292,216
Hunterdon,2013,365,119
Dane,2017,365,84
San Luis Obispo,1989,365,218
Medina,2004,208,150
Shoshone,2002,345,139
Summit,1996,366,185
Putnam,2004,364,192
Gloucester,1999,365,212
Northampton,1989,209,159
Livingston,2018,365,100
Washington,2008,358,112
Fairbanks North Star ,2000,243,169
Noble,1996,152,179
Shasta,2001,362,134
Tuscaloosa,2012,283,93
Essex,1991,347,201
Gaston,2015,36,61
Burke,1999,316,71
Berks,2018,365,117
Douglas,2005,365,147
Williamson,2010,240,126
Salem City,2004,118,103
Outagamie,2009,363,113
Navajo,1988,119,76
Winn,2009,115,59
Greene,1987,53,57
Iberville,2016,366,101
Jackson,2004,251,115
Madison,2018,244,101
Roane,2005,360,146
Sherburne,1981,360,208
Dallas,1991,365,205
Multnomah,2014,365,115
Thurston,2012,361,153
Garvin,1994,326,116
Cerro Gordo,1989,161,84
Arapahoe,2017,365,119
Carson City,2017,365,162
Lincoln,1995,281,605
Guaynabo,1994,364,70
Hamilton,2000,289,205
Berks,2006,313,156
Bolivar,2019,364,96
San Bernardino,1988,366,298
Madison,2011,318,112
Comanche,1988,364,75
Scott,1999,364,164
Erie,1998,365,200
Orange,2002,365,169
Bexar,1992,366,159
Bell,2006,267,101
Pointe Coupee,2019,351,112
Gilmer,1996,211,172
Lackawanna,1989,365,192
Pinal,2003,365,172
Pinellas,1992,366,152
Sullivan,1987,365,200
Bibb,2007,365,184
Marengo,1999,54,51
Hinds,1980,366,208
Oconee,2013,320,67
Kent,2006,365,197
Sandoval,2007,365,149
Jefferson,2009,180,112
Sonoma,2007,365,93
Catron,1994,75,43
Iron,1998,365,200
Lea,2008,362,97
Richmond,1989,201,169
Knox,1995,237,210
Lancaster,1988,365,206
Inyo,2015,365,1383
Adams,1990,365,187
Grand Forks,1995,61,46
Queens,2013,365,133
Suffolk,1998,365,174
Concordia,2000,60,84
Monmouth,1989,364,215
Thurston,1990,186,94
Lea,2015,361,157
Columbia,2016,334,55
Montgomery,1983,364,205
Dona Ana,2014,365,455
Wood,2010,365,131
Hidalgo,1996,364,163
Sublette,1993,343,84
Fremont,2009,59,35
Belknap,2008,214,101
Greene,2000,215,202
Harrison,1985,326,200
La Plata,2008,366,112
Scotts Bluff,1994,59,55
Roanoke City,2013,98,78
Caddo,2009,362,122
Putnam,2003,365,106
Woodbury,2006,122,88
Dakota,1986,365,200
Franklin,1982,365,205
Orange,1999,207,209
Socorro,2007,94,73
Charles,2003,203,217
Travis,2010,365,122
Pike,2010,335,179
Ocean,1992,364,222
Humacao,2006,108,68
Rapides,2006,122,89
Steuben,1994,60,48
Nez Perce,1990,51,93
Contra Costa,2006,365,169
Harris,1981,365,292
Codington,2003,121,81
Roane,2018,355,62
District of Columbia,2001,365,203
Stafford,2006,214,212
Hampden,1988,366,240
Dona Ana,2004,366,1006
Gila,2015,365,200
Garfield,2016,366,126
Arapahoe,2001,345,140
Roscommon,1996,154,166
Okanogan,2009,364,83
Hennepin,1993,365,122
Comanche,2008,364,133
Walker,2010,351,95
Knox,2006,182,133
Alameda,2001,365,178
San Joaquin,2018,365,308
Rutland,1983,161,114
Tuolumne,2008,365,209
Guayanilla,2001,111,75
Caswell,1993,64,179
Lares,1999,55,64
Solano,2018,365,247
Oliver,1994,365,91
Linn,1990,365,200
Monroe,1998,197,174
Bullitt,2008,284,154
Bossier,1985,349,192
Boulder,2001,365,119
Navajo,2010,364,112
Saratoga,2001,337,192
Forest,2009,365,90
Athens,2012,55,68
Big Horn,2004,62,67
Boone,2019,239,80
Steele,1997,349,101
San Diego,2009,365,179
Sainte Genevieve,2006,363,164
Blair,2003,365,197
Fairbanks North Star ,1985,183,220
Ashtabula,1994,364,154
Rosebud,1998,365,110
Kewaunee,2007,196,164
Spartanburg,2010,361,140
Rensselaer,2003,349,172
Miami,2007,214,143
Niagara,2009,365,129
Cerro Gordo,1996,352,166
Wabash,1980,171,200
Franklin,2013,357,175
Box Elder,2007,242,156
Ventura,1999,365,207
Lawrence,2015,114,71
Daviess,2011,365,147
Richland,2013,365,110
Sussex,2015,365,115
Glenn,1988,59,70
Allen,1999,359,192
Rockdale,1983,197,245
Ozaukee,1981,320,208
Custer,2001,96,47
Madera,2014,365,179
Norfolk,1992,366,104
Blount,2017,365,105
Norfolk City,2018,365,60
Cerro Gordo,1986,166,84
Taos,2003,363,75
Fannin,1996,364,176
Fountain,2016,175,30
Ravalli,2007,343,212
Adams,2018,359,66
Milwaukee,1994,365,235
Chatham,2000,256,147
DeKalb,2000,59,55
Rensselaer,1995,239,43
Aroostook,1987,361,200
Winona,2014,356,110
Sheridan,2001,241,131
Sacramento,1998,365,234
Montgomery,1985,365,164
Grand Traverse,2002,86,96
Livingston,2015,260,105
Onondaga,1980,366,201
Dunn,2003,364,97
Somerset,2006,348,112
Niagara,1991,365,177
Walker,1990,59,57
Pueblo,1997,57,67
Charles,1999,351,223
Muskogee,1996,363,127
St. James,1996,362,161
Hartford,1991,365,225
Durham,1990,365,120
Cass,2013,355,88
Silver Bow,2007,360,167
Etowah,2003,284,143
Hinds,1981,360,159
San Mateo,2017,365,154
Morgan,1991,330,132
Becker,2016,361,89
Chittenden,2013,365,133
Essex,2017,365,136
DuPage,1998,364,151
Washington,1993,365,185
Madison,1997,57,48
Koochiching,1985,53,53
Park,2017,121,86
St. Louis City,2019,365,129
Franklin,2002,365,214
Sherman,2013,61,104
Norfolk,1980,363,218
Columbia,2015,362,104
Prince George's,1990,365,217
Jefferson,1984,365,200
Caswell,1999,239,177
Middlesex,2010,179,151
Blair,2016,366,122
Marion,2011,121,92
Huron,2007,182,177
Perry,1996,237,143
Bayamon,2013,361,200
Harrison,2013,119,69
Lewis,1998,58,64
Martin,1998,358,154
Monterey,1986,365,119
Pasquotank,1994,46,64
Skagway-Hoonah-Angoon,2004,96,122
Jefferson,2002,114,108
Berkeley,1990,348,154
New London,2018,315,140
Davis,1987,365,172
Winn,2010,115,67
Dakota,1980,244,112
Schenectady,1993,363,185
Windham,2018,358,129
Franklin,2013,365,129
Pike,2008,360,159
Shelby,2000,284,214
Posey,2016,181,112
San Benito,2003,365,156
Franklin,1980,73,179
Gila,2002,365,200
Uinta,2008,366,102
Waukesha,1991,365,182
El Paso,2006,365,129
Essex,1992,366,164
Dodge,1994,180,115
Nevada,2014,365,163
Union,2015,362,181
Oakland,2007,292,159
York,2002,249,190
Hillsborough,2013,365,122
Rock,2009,192,93
Stevens,2010,365,89
Knox,1999,350,177
Saginaw,1991,358,72
Union,2015,365,85
Oldham,2005,245,172
Bristol,2010,365,136
Washington,1995,59,53
Richmond City,2013,92,55
Gloucester,1984,362,216
Hendricks,2005,365,154
Stanislaus,2007,365,178
New Hanover,1994,237,177
Hancock,2011,280,119
Benton,1987,156,64
Brown,2007,365,147
Ohio,2001,365,182
Knox,2001,365,187
Union,2015,365,108
Buchanan,1990,182,78
DeKalb,2007,365,140
Natrona,2018,365,90
Door,1999,235,208
Bergen,1992,365,169
Walworth,1997,179,166
Lycoming,1999,360,140
Glynn,1996,307,119
Onslow,1991,60,42
Knox,2009,357,112
Jackson,2006,365,139
Santa Cruz,2007,358,140
Sebastian,1992,288,54
Black Hawk,1981,137,82
Lake,2013,356,101
Wayne,2005,365,134
Hartford,1991,365,225
Lyon,2011,356,101
Plymouth,2015,363,126
Effingham,2012,192,166
Bannock,1983,365,200
Lawrence,1998,365,172
Oliver,1980,364,143
Stark,2002,365,195
Washington,2001,263,161
Walker,2008,120,96
San Diego,1992,366,229
Horry,2011,259,90
Merrimack,1992,362,200
St. Mary,2005,358,136
Fergus,2006,121,67
Hardin,2014,341,87
Androscoggin,1980,345,150
Walworth,1999,180,205
Mono,2014,365,2514
Umatilla,2018,333,229
Genesee,2004,366,151
Gila,2011,365,169
Marengo,1999,54,51
Lincoln,2015,365,96
Pottawattamie,2015,122,82
Volusia,2016,359,89
Marion,2011,365,119
Providence,1990,365,195
Deschutes,2017,365,365
Wake,2012,366,161
Marshall,1991,291,200
Kennebec,1995,240,133
Greene,1996,58,49
Noble,1986,49,57
Maury,2016,110,78
Kent,2000,214,214
Charles,2011,207,182
Licking,2013,214,105
Grant,2006,360,112
Burleigh,1990,60,76
Missoula,1992,334,98
Calcasieu,1989,365,174
Smyth,1985,272,143
Blair,1996,366,185
Lincoln,1994,299,200
Rockland,2010,365,156
Prince William,2001,365,187
Broward,2011,365,115
Deschutes,1996,219,101
Prince William,1998,342,208
Custer,2005,364,122
Lawrence,1980,137,139
Otero,1995,6,20
Washington,2012,364,150
Los Alamos,2010,112,30
Pueblo,2015,129,94
Camden,1991,49,50
Ingham,1995,180,182
Roanoke,2016,366,100
Williamson,1995,214,200
Orange,1982,365,268
Mono,2000,349,10362
Stark,1985,132,59
Northampton,2013,365,134
Buncombe,2018,365,93
Ottawa,1992,116,179
Apache,1988,361,84
Watauga,2006,119,90
St. Lucie,2000,361,115
Blair,1994,365,187
Clinton,2009,214,133
Mineral,2005,96,81
Otero,1995,6,20
Hampton City,2002,365,213
Harris,2001,365,235
Adams,1996,366,136
Alachua,2010,365,101
Paulding,2000,356,166
Addison,2003,11,62
Linn,1991,365,198
Clallam,1989,363,200
Carson City,1987,335,43
Jessamine,1999,205,177
Umatilla,2011,362,104
Jackson,2016,271,154
Mahoning,2014,365,114
Northumberland,1996,59,46
Tazewell,2015,339,134
Muskegon,2008,356,185
Macon,2019,365,93
Jackson,2010,364,140
Lake,1988,366,239
Tuscarawas,2010,360,115
Kent,1983,362,217
St. Mary,1993,365,156
Gila,1997,190,102
El Paso,2003,365,147
Granville,1995,238,179
York,2003,358,169
Gunnison,1989,61,79
Allen,1991,365,187
Christian,2004,278,129
Umatilla,2001,324,112
Ingham,1994,182,161
Uintah,2008,166,97
St. James,2011,363,136
Orange,1991,308,213
Vigo,2008,366,144
Morris,1995,365,214
Strafford,1994,58,44
Craighead,2018,90,72
Cochise,1989,240,175
Lake,2014,365,155
Schuylkill,1995,364,111
St. Croix,2002,209,140
Abbeville,2003,224,150
Mercer,1986,360,207
Pima,1992,366,159
Harford,2018,358,150
Grant,2013,351,145
Teller,2003,336,56
Wayne,2015,365,133
Brown,1992,366,165
Jefferson,1982,363,200
Madison,2013,114,68
Queens,1993,349,197
Sweet Grass,2001,77,22
Crawford,1990,329,169
Yavapai,1999,282,159
Rensselaer,2006,359,129
Washington,2001,361,140
Dane,1980,358,156
Rockland,2010,365,156
Eaton,1981,340,92
Sumner,1986,357,205
Parker,2000,144,179
Codington,2008,362,151
Calhoun,1995,59,57
Jefferson,2005,365,177
Santa Fe,2013,365,100
Grafton,1995,364,101
Jefferson,2014,245,93
Richmond,1996,254,169
Rio Arriba,2006,111,47
Wallowa,2018,329,118
Wayne,1996,366,167
Grafton,1997,363,150
Escambia,2000,119,123
El Paso,1991,365,136
Shawnee,1998,49,69
Keweenaw,2001,114,68
LaPorte,2010,365,151
Kalamazoo,2011,231,133
Hancock,2011,280,119
Glenn,2017,365,150
Gallia,2005,345,154
Carbon,2010,349,112
Denton,1988,329,195
Nevada,2012,366,164
Ashtabula,1997,359,174
Mitchell,2014,120,65
Burke,2000,365,134
West Baton Rouge,2018,365,129
Pierce,1987,365,215
Hinds,1980,366,208
Niagara,1982,365,185
Keweenaw,1990,43,68
Napa,1999,365,161
Humboldt,2013,365,108
Catano,1994,333,116
Hancock,2008,183,126
Peoria,2018,365,101
Shelby,1996,262,197
Ventura,1997,365,209
Tuscarawas,1980,163,137
Anderson,1999,365,190
Albany,2003,365,182
Buffalo,1994,57,66
Grant,2007,355,167
San Benito,2000,364,147
Alamosa,2017,354,53
Kitsap,1993,61,54
Jackson,1996,350,119
El Dorado,2007,365,201
Chesapeake City,1987,50,100
Phillips,1993,93,28
Grand,2018,166,151
Delaware,2005,57,44
Cass,2018,320,100
Fairfield,1999,365,229
Onondaga,1995,365,174
Calcasieu,1982,335,220
York,2003,364,202
St. Bernard,1991,365,154
Stillwater,1988,29,168
Wythe,1992,214,136
Barnstable,2010,267,151
Garden,2006,119,56
Kane,2015,363,124
Delaware,2005,363,161
Elk,2010,358,115
BAJA CALIFORNIA NORTE,2012,366,465
Paulding,1991,264,166
Miami,2017,245,101
Essex,2015,365,112
Martin,2007,365,129
Leon,2010,365,158
Thurston,1997,288,79
Wilson,2001,236,147
Delta,2001,61,67
Santa Clara,2013,365,152
Custer,1999,38,67
Grant,2017,365,185
Douglas,1992,195,61
Fajardo,1991,32,80
Vilas,1999,298,154
Erie,2011,365,115
Autauga,1989,63,100
Henderson,2012,366,164
Hudson,1985,365,249
Luzerne,1997,365,200
Oxford,2002,364,150
Caldwell,1999,19,66
Cedar,1999,260,172
Broome,1998,54,50
Kings,2014,365,172
McDowell,1999,116,97
Columbiana,1984,334,200
St. John the Baptist,1999,365,169
Clark,2000,365,209
Androscoggin,1988,357,216
San Francisco,2011,365,131
Cooper,2002,9,68
Smith,2002,364,161
Queens,2008,366,156
Bristol City,2015,112,63
Polk,1989,365,156
Cecil,1997,235,234
Cass,2015,180,126
Dubois,2019,120,70
Wakulla,2001,280,156
Christian,1994,199,185
Jackson,2004,180,119
Windham,2017,355,140
Denton,2015,365,172
Imperial,2002,365,227
Bucks,2015,362,164
Carroll,2003,55,44
Sumter,1998,194,122
Custer,2016,360,64
Salt Lake,2008,366,158
Muscogee,2018,364,98
Carter,2018,281,80
Stearns,1992,57,50
Shawnee,1999,121,96
Yavapai,1998,219,154
Brown,2012,123,77
Cochise,2011,352,119
San Francisco,2013,365,133
Charleston,1985,365,119
Daviess,2017,358,27
Del Norte,2008,118,68
Delaware,2007,333,154
Pasco,2013,365,101
Hyde,2010,118,73
St. Lawrence,1999,23,70
Putnam,2006,109,97
District of Columbia,1983,365,230
Olmsted,2011,360,99
Washington,2012,366,107
Anne Arundel,2001,365,206
Orange,2016,366,169
Coconino,1993,362,90
Cabell,2004,363,136
Durham,1982,349,163
Norfolk,1984,366,201
Cloud,1987,42,67
Washoe,1985,365,255
La Paz,2007,212,136
Brevard,2003,365,147
Door,1998,183,203
New York,1990,365,226
Fergus,2004,119,75
Harrison,1991,365,173
Simpson,2000,244,172
Franklin,2011,365,156
McKenzie,2005,365,113
Wayne,2010,364,128
Monmouth,2000,366,214
Contra Costa,2019,365,129
Herkimer,2000,362,166
Santa Barbara,1989,365,275
Daviess,2014,365,100
Placer,1997,365,179
Larimer,1980,327,190
Polk,2007,248,108
Marion,1992,130,93
Ouachita,1997,365,129
Woodbury,1981,121,138
Saratoga,2003,234,187
Montgomery,2002,149,126
Chittenden,1998,365,140
Jefferson,1981,365,239
Delta,1999,61,357
Halifax,1996,47,51
Prince Edward,1998,331,190
Converse,2010,363,99
Morgan,2006,365,131
Augusta,1986,358,150
Olmsted,1999,28,37
Iberville,1980,284,244
Passaic,2010,286,172
Coweta,2006,360,156
Sacramento,2015,365,172
Arapahoe,2008,190,74
Lauderdale,1989,224,122
Saint Clair,2007,365,169
Knox,2019,355,80
Jefferson,1995,359,172
Franklin,1991,47,55
York,1980,358,208
Trinity,2011,210,158
Westchester,2015,365,140
Franklin,1998,211,203
Giles,1991,360,166
Humphreys,1993,362,190
Bowie,2006,117,108
Snohomish,1983,365,200
Onslow,1994,54,57
Wyandotte,2018,365,172
Walker,2005,63,104
Monterey,1982,365,108
Atlantic,2008,361,119
Suffolk City,1993,239,210
Mercer,2008,366,89
Kandiyohi,2000,23,94
Hampshire,2019,364,93
Randall,2013,355,122
St. Joseph,2003,365,179
Tarrant,2005,365,213
Mariposa,1994,365,197
McDowell,1999,116,97
Preble,1988,208,209
Lowndes,2018,315,93
McHenry,2015,364,103
Berks,1981,358,240
Victoria,1995,277,174
Buffalo,1982,361,148
Crook,2008,108,74
Vermillion,1996,56,52
Beaufort,1988,257,136
Henrico,2015,365,119
Sublette,2007,365,106
Tulare,1995,365,207
New London,1991,364,219
Grand Forks,1993,193,66
Perry,2013,214,100
Lake,2003,358,178
Tippecanoe,1988,366,215
Bayamon,1991,365,200
Kewaunee,1989,184,187
Inyo,2008,366,710
Campbell,2007,184,174
Clermont,2006,260,154
Lackawanna,2001,365,169
Pointe Coupee,2013,344,101
Roane,1985,342,200
Orange,2000,366,174
Merced,1989,64,97
Scott,1994,214,197
Roosevelt,2005,115,37
St. Clair,2009,241,115
Haywood,2001,242,161
Franklin,2016,366,51
Putnam,1995,59,69
Westchester,2013,365,136
Washtenaw,1980,363,166
Portage,1980,339,182
Jefferson,2011,287,159
Edmonson,2012,366,161
Los Alamos,2012,115,36
New Castle,1996,366,203
Cecil,2009,355,143
Fajardo,2009,183,78
Caddo,2006,254,147
Chattooga,2006,263,143
Androscoggin,2000,341,112
Garden,2015,119,71
Union,1985,22,71
Cerro Gordo,2015,357,58
Jones,1980,318,226
Rockingham,2005,365,51
Skagit,2005,365,103
Ozaukee,2009,252,164
Pulaski,1988,366,190
Orange,2004,267,185
Los Angeles,2007,365,213
Oakland,1993,358,169
Ford,2011,350,63
Rockdale,1988,253,251
McLean,1990,154,75
Sutter,1999,365,179
Garvin,1987,343,76
Hunt,2010,362,126
York,2014,346,100
Marion,1983,365,213
Douglas,2009,365,124
Nassau,2005,362,175
Vilas,2017,319,80
Canyon,2009,289,72
Lauderdale,1990,273,140
Ouachita,1997,365,129
Cheshire,2000,344,166
Scioto,2010,365,110
McCracken,2012,366,202
Macomb,2011,242,159
Richland,2003,365,169
Williamson,2005,235,129
Clearfield,2007,203,126
Lake,1999,364,105
Barbour,2003,15,84
Lares,2002,89,61
Washington,2001,263,161
Anderson,2001,231,182
Thurston,2008,362,140
Putnam,2018,352,64
Blaine,1992,14,31
El Dorado,1995,365,208
Clark,2002,261,195
Siskiyou,2002,352,115
Lewis and Clark,2015,365,171
McCracken,1990,365,172
McCracken,2009,364,115
Hinds,1990,365,151
Walla Walla,1996,64,97
Parke,1986,350,200
Montezuma,2001,344,105
Lewis and Clark,2007,353,164
Deer Lodge,1985,116,306
Cedar,1999,4,35
Washington,2006,183,226
Henderson,2015,365,101
McHenry,2011,363,129
Santa Rosa,2017,364,97
Routt,1989,163,105
Dearborn,2001,365,170
La Crosse,2013,361,85
Ponce,1998,44,72
Koochiching,1995,363,129
Henrico,2004,303,119
Panola,1998,272,169
Lake,1997,202,73
Franklin,1994,57,54
Rio Grande,1996,57,85
Morgan,2001,361,200
Fremont,2007,316,140
Edgecombe,1992,18,35
Davie,1984,288,174
Franklin,1981,5,55
Pima,2018,365,129
Holmes,2003,353,150
Oconee,2014,358,90
Ellis,2002,365,185
Person,2012,212,140
Colusa,2012,366,202
Cumberland,2003,349,157
New Hanover,2001,365,140
Bullitt,1985,204,159
Albemarle,2015,365,75
Allen,2015,357,169
Portage,1993,208,182
Vigo,1998,365,200
Brookings,2017,365,90
Lake,2019,360,50
San Bernardino,2007,365,234
Catawba,2005,128,120
Putnam,2004,365,74
Middlesex,2001,269,206
Rockwall,2007,363,140
Washoe,2000,366,107
Adams,1998,365,174
Alachua,1989,31,76
Albany,2008,366,156
Seminole,1987,354,185
Carroll,2014,58,18
Beaver,2017,365,105
Davis,1982,365,212
Union,2010,221,115
San Francisco,2011,365,131
Burke,2006,365,85
Randolph,2015,364,90
Douglas,2011,245,147
Hampden,2015,365,147
Cotton,2012,252,151
Jefferson,2006,241,179
Jasper,2004,365,99
DuPage,2005,361,164
San Bernardino,2004,366,242
Penobscot,2015,364,100
Rutland,2002,365,160
Washington,2002,120,96
Travis,1993,365,154
Onslow,2007,120,98
Montgomery,2006,365,147
Loudoun,2003,365,212
Somerset,1989,58,36
Caddo,1990,360,154
Lauderdale,2015,241,77
Hidalgo,1990,358,200
Iberville,1980,284,244
Weston,2016,366,90
Lincoln,2006,363,158
Hartford,2002,365,222
Butte,1995,365,151
Putnam,2002,351,85
Colleton,1987,152,154
Fond du Lac,1987,179,166
Crawford,1998,364,200
Pierce,1993,365,119
Rockingham,1987,364,234
Providence,1990,365,195
Toa Baja,1980,117,101
Carlton,1999,48,30
Prince Edward,2010,347,133
Chemung,1998,362,164
Boyd,1980,365,220
Jefferson,1987,348,200
Benton,2017,357,138
Hancock,2003,183,201
Madison,2015,363,88
New Castle,2012,366,151
Fremont,1991,336,74
Lewis,2008,118,70
Boone,2006,183,156
Mercer,1980,366,126
Vanderburgh,2011,365,150
Boone,1987,27,58
Rockingham,2007,365,136
Nassau,1982,244,200
Glenn,1985,176,161
Taos,2010,355,62
Dutchess,2009,361,122
Richmond,2000,327,214
Etowah,1981,188,226
Cherry,2002,97,55
Cass,1994,172,53
Westchester,2008,365,190
Sauk,2017,364,87
San Juan,1997,329,101
Knox,1990,365,200
Coconino,1995,362,101
Carter,2013,284,97
Sumner,2006,365,151
Cook,1996,366,215
Billings,1981,365,172
Rio Blanco,2015,365,100
Washington,1993,270,174
Flathead,2008,366,81
Rockdale,1981,271,233
Onslow,2005,120,117
Carroll,1995,60,51
Adams,2006,365,174
Lycoming,2015,363,87
Converse,2013,365,108
Gallatin,1988,55,69
Gregg,2018,364,140
Charleston,1992,366,203
Sheridan,2011,362,89
Sherburne,1987,362,97
Calvert,2011,209,169
Clark,1991,346,229
York,1980,366,149
Johnston,2015,84,108
Pinellas,2007,365,186
Franklin,1986,42,44
Butte,2018,365,445
Pike,1996,60,48
Minnehaha,1997,63,48
Westchester,1997,365,187
Tuscarawas,2010,360,115
Maury,1981,365,200
Essex,2019,365,100
Oxford,2002,364,150
Snohomish,1993,365,101
Clallam,1992,366,200
Ravalli,2002,335,83
Oakland,1989,362,201
McLennan,2008,363,133
Burke,2010,363,105
Bartholomew,2015,365,115
Davis,1988,364,187
Calvert,1996,155,151
Oklahoma,1994,365,166
Crittenden,1994,365,179
Wayne,1981,365,216
Saint Clair,2017,365,101
Kings,1985,364,172
New Hanover,1996,355,200
Snohomish,2004,366,131
Garden,2006,119,56
Burke,1994,360,174
San Juan,1993,365,79
Montgomery,2019,365,122
Haywood,1996,214,174
Douglas,2018,364,156
Simpson,2003,245,147
Lubbock,2018,303,134
Livingston,2011,324,122
Pennington,2000,366,247
Bullitt,2010,284,119
Norfolk,2015,365,156
Klickitat,2010,122,61
St. James,1999,363,192
Vigo,2008,366,144
Jefferson,1994,182,136
Harrison,2000,115,103
Walker,1999,58,58
Houston,2019,280,77
Anderson,1997,361,166
Plymouth,2004,124,99
Putnam,1996,355,121
Manatee,1991,357,164
Ada,1994,254,89
Monongalia,1993,365,195
Kenai Peninsula ,1991,173,65
Campbell,2016,363,115
Sonoma,2015,365,88
Carroll,1998,214,108
Jackson,2008,104,92
Grand,1998,55,50
St. Tammany,2008,238,150
Giles,1983,340,190
Belknap,2009,209,97
Hunterdon,2008,366,164
Waukesha,2008,366,132
Oneida,2013,361,82
Fayette,1992,357,159
Lake,2000,366,164
Kent,2018,365,115
El Dorado,2015,365,166
Waukesha,1996,366,161
Columbiana,2001,342,199
Teller,1995,96,176
Norfolk City,1981,349,68
Multnomah,1984,366,130
Bell,2018,256,84
Oldham,2007,245,156
Mendocino,2002,365,153
Bayamon,2003,364,141
Comanche,1991,348,59
Hancock,1999,182,185
Mineral,2009,118,32
Carbon,2017,364,90
Marion,2011,365,95
Flathead,1987,134,116
District of Columbia,2019,365,157
Sonoma,1984,366,154
Guayanilla,1982,290,200
Ottawa,1998,205,185
Essex,1986,365,172
Knox,2007,359,215
Fulton,2016,366,156
Harris,2008,365,201
Davie,2010,214,140
Middlesex,2013,180,179
Shoshone,1988,102,115
Oneida,1980,366,204
La Salle,2000,363,109
El Dorado,2016,366,172
Fauquier,2018,244,80
Loudoun,2013,365,115
Santa Rosa,2010,365,156
Rowan,2012,366,206
Miami-Dade,2004,366,161
Cochise,2005,355,108
Anoka,1996,360,100
Darlington,1980,186,190
Dauphin,2002,365,216
Adams,1980,325,156
Noble,2014,355,112
Hancock,2015,183,97
Spencer,1989,333,200
Utah,1983,364,245
Fannin,1996,364,176
Cherokee,2004,366,122
Madison,1983,17,108
Carroll,2018,59,22
Pulaski,2008,244,105
Penobscot,2009,364,122
East Baton Rouge,1987,365,208
Hancock,1997,182,190
St. Louis City,2006,365,183
Montgomery,1984,354,166
Leon,1985,359,100
Josephine,2015,365,166
Suffolk,1990,357,213
Somerset,1989,58,36
Sauk,2000,179,147
Harrison,2006,365,143
Chatham,1999,365,154
Iredell,1982,331,168
Sullivan,1986,365,200
Jackson,1996,102,53
Manatee,1994,361,143
Tuscarawas,1987,311,200
West Baton Rouge,2014,365,112
Niagara,1991,365,177
Effingham,1982,283,140
Putnam,1998,57,52
Page,2009,263,77
Ingham,2017,365,97
Leon,2017,357,87
Jefferson,1997,182,143
Ellis,1991,257,150
Duchesne,2014,365,119
Morgan,2000,181,169
Anchorage ,2011,365,88
Fauquier,2015,208,61
Jefferson,2009,365,200
Wayne,1992,366,186
Pennington,2009,365,92
Schenectady,1984,366,204
Belknap,2011,211,93
Manistee,1994,360,169
Marathon,1984,366,200
Rock Island,2010,363,77
Hancock,2003,183,201
Parker,1988,100,192
Erie,2013,365,122
Montgomery,1993,359,174
DeKalb,1997,307,179
Aiken,1986,344,201
Floyd,1990,365,190
Livingston,1994,364,204
Coconino,2016,366,97
Sainte Genevieve,2003,356,182
Brevard,1988,59,67
Smith,1992,53,61
Passaic,2003,253,156
Dakota,2017,365,83
Cabell,2018,282,100
Loudon,2003,47,98
St. Joseph,1984,366,169
Ocean,1984,362,86
Contra Costa,2006,365,169
Okmulgee,1997,275,150
Kenton,1988,366,253
Boyd,1987,365,226
Erie,1993,365,195
Hancock,1992,339,185
Monongalia,1983,72,119
Humacao,2001,112,70
Douglas,2009,363,150
Sherman,1994,347,90
Essex,1993,365,210
Windham,1985,205,185
Clearfield,2002,194,187
Beltrami,2019,352,181
Marquette,1993,190,77
Tulsa,2008,366,187
Cameron,2018,365,99
McMinn,1991,364,178
Sonoma,2016,366,87
Eagle,1992,135,45
Kent,1992,214,200
Franklin,1996,116,177
Riverside,2007,365,1108
Washington,2002,241,207
Rock,2007,112,90
Coconino,2010,363,136
Nueces,1994,360,192
Cabell,2005,358,150
