provSize,Query,IG(wo/ EXPL),IG(w/ EXPL)
1000,0.019491659,0.099487424,0.417754179
10000,0.070844965,0.658487531,2.972648880
100000,0.373679281,6.024725367,24.254099907
1000000,7.801035977,130.199527432,553.299067649
