provSize,Query,IG(wo/ EXPL),IG(w/ EXPL)
1000,0.014867271,0.02867947,0.065141337
10000,0.021357835,0.108288645,0.400738013
100000,0.11843431,1.385937979,5.372528882
1000000,1.834470819,27.944986769,114.312827163
