provSize,Query,IG(wo/ EXPL),IG(w/ EXPL)
1000,0.013448325,0.019396994,0.038326860	
10000,0.018535280,0.06500486,0.197281369	
100000,0.072121830,0.815104056,3.577957028
1000000,3.764805292,66.24029208,342.300648060	
