provSize,Query,IG(wo/ EXPL),IG(w/ EXPL)
1000,0.013225746,0.025662904,0.051890947
10000,0.017689497,0.032008425,0.053430260
100000,0.039503891,0.048303586,0.145693745
1000000,0.117420766,0.388575101,2.720832259
4000000,0.404028616,2.332560941,17.356269383
