provSize,Query,IG(wo/ EXPL),IG(w/ EXPL)
1000,0.014754543,0.027929076,0.043219651
10000,0.018139636,0.023553139,0.060575679
100000,0.030419139,0.049804909,0.159151947
1000000,0.107875066,0.480862007,2.252102892
4000000,0.657768076,4.528668609,93.106761437
